Innings Player,Innings Boundary Sixes,Innings Date,Country
TG Southee,-,2019/02/10,New Zealand
SC Kuggeleijn,-,2019/02/10,New Zealand
BM Tickner,-,2019/02/10,New Zealand
IS Sodhi,-,2019/09/01,New Zealand
SHA Rance,-,2019/09/01,New Zealand
TG Southee,-,2019/09/01,New Zealand
SC Kuggeleijn,-,2019/09/01,New Zealand
IS Sodhi,-,2019/09/03,New Zealand
MJ Guptill,-,2019/09/03,New Zealand
SHA Rance,-,2019/09/03,New Zealand
TG Southee,-,2019/11/01,New Zealand
SC Kuggeleijn,-,2019/11/01,New Zealand
IS Sodhi,-,2019/11/01,New Zealand
LH Ferguson,-,2019/11/01,New Zealand
IS Sodhi,-,2019/11/03,New Zealand
LH Ferguson,-,2019/11/03,New Zealand
LH Ferguson,-,2019/11/05,New Zealand
BM Tickner,-,2019/11/05,New Zealand
IS Sodhi,-,2019/11/05,New Zealand
TG Southee,-,2019/11/10,New Zealand
SC Kuggeleijn,-,2019/11/10,New Zealand
TA Boult,-,2019/11/10,New Zealand
IS Sodhi,-,2019/11/10,New Zealand
MJ Santner,-,2019/11/10,New Zealand
TG Southee,-,2020/01/24,New Zealand
BM Tickner,-,2020/01/24,New Zealand
HK Bennett,-,2020/01/24,New Zealand
IS Sodhi,-,2020/01/24,New Zealand
BM Tickner,-,2020/01/26,New Zealand
HK Bennett,-,2020/01/26,New Zealand
IS Sodhi,-,2020/01/26,New Zealand
TG Southee,-,2020/01/26,New Zealand
HK Bennett,-,2020/01/29,New Zealand
SC Kuggeleijn,-,2020/01/29,New Zealand
TG Southee,-,2020/01/29,New Zealand
IS Sodhi,-,2020/01/29,New Zealand
TG Southee,-,2020/01/31,New Zealand
IS Sodhi,-,2020/01/31,New Zealand
HK Bennett,-,2020/01/31,New Zealand
RG Sharma,10,2017/12/22,India
RG Sharma,7,2018/11/06,India
KL Rahul,5,2016/08/27,India
RG Sharma,5,2015/10/02,India
KL Rahul,5,2018/07/03,India
SK Raina,5,2010/05/02,India
RG Sharma,5,2018/07/08,India
RG Sharma,5,2018/06/27,India
V Kohli,6,2019/12/06,India
S Dhawan,2,2018/11/11,India
KL Rahul,4,2019/12/11,India
V Kohli,2,2016/01/26,India
S Dhawan,6,2018/03/06,India
V Kohli,1,2016/03/31,India
KL Rahul,8,2017/12/22,India
RG Sharma,5,2018/03/14,India
RG Sharma,6,2019/11/07,India
RG Sharma,3,2016/02/24,India
V Kohli,2,2016/03/27,India
V Kohli,1,2017/09/06,India
RG Sharma,4,2017/11/01,India
S Dhawan,2,2017/11/01,India
RG Sharma,6,2010/05/07,India
MK Pandey,3,2018/02/21,India
V Kohli,2,2012/09/30,India
Yuvraj Singh,5,2013/10/10,India
V Kohli,4,2014/04/06,India
S Dhawan,2,2018/11/21,India
G Gambhir,2,2007/09/24,India
S Dhawan,5,2018/06/27,India
SK Raina,2,2010/06/13,India
V Kohli,2,2014/04/04,India
V Kohli,6,2019/02/27,India
V Kohli,3,2019/09/18,India
Yuvraj Singh,7,2012/12/28,India
S Dhawan,2,2018/02/18,India
KL Rahul,2,2017/01/29,India
RG Sharma,5,2019/12/11,India
V Kohli,7,2019/12/11,India
Yuvraj Singh,5,2007/09/22,India
V Kohli,1,2012/09/11,India
KL Rahul,6,2018/06/29,India
SK Raina,3,2018/06/29,India
V Sehwag,3,2007/09/19,India
V Kohli,1,2012/08/07,India
Yuvraj Singh,2,2009/06/12,India
RG Sharma,3,2019/08/04,India
V Kohli,1,2014/09/07,India
RR Pant,4,2019/08/06,India
V Kohli,1,2017/11/04,India
RG Sharma,3,2020/01/29,India
V Sehwag,3,2009/12/12,India
G Gambhir,1,2007/10/20,India
SK Raina,1,2010/05/11,India
SK Raina,5,2017/02/01,India
RG Sharma,2,2014/03/23,India
RG Sharma,4,2016/08/27,India
SS Iyer,5,2019/11/10,India
KL Rahul,4,2019/12/06,India
SK Raina,5,2009/02/25,India
V Kohli,2,2018/11/25,India
AM Rahane,0,2011/08/31,India
KL Rahul,1,2017/12/20,India
Yuvraj Singh,5,2009/12/12,India
RG Sharma,3,2020/02/02,India
Yuvraj Singh,4,2014/03/30,India
RG Sharma,2,2016/01/29,India
S Dhawan,1,2016/03/06,India
V Kohli,1,2016/01/29,India
V Kohli,0,2019/08/06,India
SS Iyer,3,2020/01/24,India
G Gambhir,1,2007/09/19,India
Yuvraj Singh,7,2007/09/19,India
KM Jadhav,1,2016/06/22,India
RR Pant,3,2018/11/11,India
V Kohli,1,2014/03/28,India
KL Rahul,2,2020/01/26,India
G Gambhir,0,2012/02/03,India
V Kohli,0,2016/03/01,India
RG Sharma,1,2014/03/28,India
MS Dhoni,2,2017/02/01,India
RG Sharma,3,2018/03/18,India
KL Rahul,3,2020/01/24,India
RG Sharma,1,2012/09/23,India
V Kohli,1,2016/03/19,India
G Gambhir,0,2009/12/09,India
S Dhawan,2,2018/03/08,India
V Kohli,1,2014/03/23,India
S Dube,4,2019/12/08,India
KL Rahul,1,2020/01/10,India
RG Sharma,2,2011/01/09,India
RG Sharma,1,2009/06/10,India
Mandeep Singh,1,2016/06/20,India
MS Dhoni,3,2018/02/21,India
RG Sharma,1,2016/01/31,India
KL Rahul,0,2019/11/10,India
S Dhawan,1,2020/01/10,India
MK Pandey,1,2017/09/06,India
G Gambhir,2,2007/09/16,India
S Dhawan,2,2016/02/12,India
RG Sharma,2,2007/09/20,India
MK Pandey,0,2020/01/31,India
RV Uthappa,2,2007/09/14,India
Yuvraj Singh,4,2009/02/27,India
G Gambhir,0,2009/06/06,India
V Kohli,2,2012/09/19,India
V Kohli,1,2016/01/31,India
RG Sharma,4,2019/02/08,India
KL Rahul,1,2019/02/24,India
G Gambhir,1,2012/03/30,India
SK Raina,1,2016/01/31,India
V Kohli,0,2016/02/27,India
MS Dhoni,3,2017/11/04,India
MS Dhoni,3,2012/02/01,India
M Vijay,3,2010/05/01,India
MK Pandey,3,2016/06/18,India
KD Karthik,3,2017/07/09,India
KL Rahul,2,2016/06/20,India
S Dhawan,0,2018/02/24,India
SK Raina,2,2018/03/14,India
V Kohli,2,2018/07/06,India
KL Rahul,4,2019/02/27,India
S Dhawan,1,2016/02/14,India
MS Dhoni,2,2009/12/12,India
M Vijay,3,2010/06/13,India
MS Dhoni,1,2007/09/20,India
G Gambhir,0,2012/09/23,India
SK Raina,0,2012/10/02,India
KL Rahul,0,2020/01/07,India
V Kohli,1,2020/01/24,India
KL Rahul,2,2020/02/02,India
SS Iyer,3,2020/01/26,India
S Badrinath,0,2011/06/04,India
G Gambhir,1,2012/12/25,India
V Kohli,3,2015/10/02,India
RG Sharma,1,2016/02/12,India
RG Sharma,3,2016/03/31,India
MS Dhoni,2,2016/08/27,India
SK Raina,1,2018/02/24,India
V Kohli,2,2018/07/08,India
S Dhawan,0,2018/11/06,India
V Shankar,2,2019/02/10,India
MK Pandey,1,2018/03/12,India
AM Rahane,1,2012/12/25,India
RV Uthappa,0,2015/07/19,India
S Dhawan,2,2016/01/29,India
V Kohli,0,2016/03/06,India
Yuvraj Singh,4,2009/06/06,India
G Gambhir,0,2010/05/11,India
SK Raina,3,2011/01/09,India
SK Raina,1,2016/01/26,India
S Dhawan,2,2018/11/25,India
S Dhawan,1,2019/11/03,India
RR Pant,1,2019/02/08,India
V Sehwag,2,2007/09/16,India
V Kohli,0,2012/09/23,India
AM Rahane,0,2016/03/31,India
MS Dhoni,3,2019/02/27,India
S Dhawan,1,2019/09/18,India
RV Uthappa,0,2015/07/17,India
MS Dhoni,1,2017/12/20,India
KD Karthik,0,2018/03/12,India
SK Raina,2,2011/10/29,India
RG Sharma,1,2016/03/03,India
V Kohli,1,2017/07/09,India
MS Dhoni,1,2019/02/06,India
KL Rahul,2,2020/01/31,India
D Mongia,1,2006/12/01,India
SK Raina,0,2012/09/19,India
Yuvraj Singh,3,2012/12/20,India
V Kohli,0,2012/12/22,India
MS Dhoni,2,2012/12/22,India
RR Pant,1,2017/07/09,India
RG Sharma,0,2019/02/10,India
V Kohli,1,2020/01/29,India
YK Pathan,3,2010/06/12,India
G Gambhir,1,2009/06/10,India
Yuvraj Singh,2,2010/05/02,India
MK Pandey,1,2018/03/06,India
V Kohli,1,2014/03/21,India
MS Dhoni,0,2017/01/26,India
MS Dhoni,1,2007/09/22,India
RG Sharma,2,2009/06/06,India
S Dhawan,2,2019/09/22,India
SK Raina,1,2012/12/22,India
SK Raina,1,2014/03/21,India
RV Uthappa,0,2007/10/20,India
SK Raina,1,2009/02/10,India
Yuvraj Singh,3,2016/03/01,India
S Dhawan,1,2018/03/14,India
SK Raina,1,2012/08/07,India
V Sehwag,1,2006/12/01,India
RV Uthappa,3,2007/09/22,India
Yuvraj Singh,2,2012/09/11,India
M Vijay,1,2015/07/17,India
SK Raina,1,2017/01/26,India
SS Iyer,1,2020/01/07,India
IK Pathan,2,2009/02/10,India
YK Pathan,2,2009/06/14,India
HH Pandya,2,2018/07/08,India
KD Karthik,4,2019/02/10,India
RR Pant,1,2019/12/08,India
SS Iyer,2,2020/02/02,India
MS Dhoni,1,2007/09/14,India
SK Raina,3,2011/08/31,India
MS Dhoni,0,2012/12/28,India
S Dhawan,2,2014/09/07,India
AM Rahane,0,2015/07/17,India
MK Pandey,2,2017/12/20,India
HH Pandya,4,2018/06/29,India
MS Dhoni,0,2018/07/06,India
Yuvraj Singh,2,2009/02/10,India
SK Raina,1,2010/05/09,India
S Dhawan,0,2013/10/10,India
AM Rahane,1,2014/04/04,India
MK Pandey,0,2017/12/24,India
RG Sharma,1,2018/07/03,India
S Dhawan,0,2020/01/07,India
KD Karthik,1,2006/12/01,India
Yuvraj Singh,3,2007/10/20,India
R Ashwin,0,2016/02/09,India
KD Karthik,1,2018/11/04,India
MK Pandey,0,2020/01/10,India
YK Pathan,1,2009/06/12,India
R Dravid,3,2011/08/31,India
V Kohli,0,2012/02/03,India
IK Pathan,1,2012/09/28,India
RG Sharma,1,2016/01/26,India
HH Pandya,1,2016/02/24,India
Mandeep Singh,0,2016/06/18,India
SK Raina,0,2018/02/21,India
S Dhawan,0,2019/11/07,India
RG Sharma,1,2007/09/24,India
MS Dhoni,0,2009/06/14,India
V Kohli,2,2020/01/07,India
S Dhawan,0,2014/03/21,India
SK Raina,0,2016/02/12,India
MS Dhoni,1,2016/03/15,India
SK Raina,2,2016/03/23,India
MK Pandey,1,2017/01/29,India
SS Iyer,1,2017/12/24,India
KD Karthik,1,2018/11/21,India
S Dhawan,0,2019/02/08,India
MK Pandey,1,2018/02/18,India
KD Karthik,3,2018/03/18,India
MS Dhoni,1,2019/02/24,India
RG Sharma,0,2009/06/16,India
MS Dhoni,2,2010/05/09,India
V Sehwag,0,2012/09/30,India
V Kohli,1,2013/10/10,India
RG Sharma,0,2014/04/06,India
V Kohli,0,2017/01/26,India
S Dhawan,3,2019/02/06,India
MS Dhoni,0,2009/02/27,India
SK Raina,1,2010/06/12,India
V Kohli,0,2011/01/09,India
AM Rahane,0,2012/12/28,India
MS Dhoni,2,2017/12/22,India
SK Raina,1,2018/03/08,India
MK Pandey,0,2018/03/18,India
RR Pant,3,2019/02/10,India
V Kohli,1,2019/08/04,India
MS Dhoni,1,2014/09/07,India
MK Pandey,0,2018/03/08,India
SK Raina,1,2012/09/11,India
V Kohli,0,2012/12/28,India
HH Pandya,2,2016/02/12,India
Yuvraj Singh,3,2017/02/01,India
KM Jadhav,1,2017/10/10,India
RG Sharma,1,2017/12/24,India
SK Raina,2,2018/03/12,India
SK Raina,1,2018/07/06,India
V Shankar,2,2019/02/06,India
RR Pant,0,2019/11/03,India
KL Rahul,1,2020/01/29,India
V Kohli,1,2010/06/12,India
V Kohli,3,2017/11/01,India
KL Rahul,1,2018/11/06,India
KH Pandya,2,2019/02/10,India
IK Pathan,0,2008/02/01,India
V Sehwag,4,2009/02/25,India
MS Dhoni,1,2009/06/06,India
G Gambhir,0,2009/06/14,India
V Sehwag,1,2009/12/09,India
PA Patel,1,2011/06/04,India
RG Sharma,2,2011/06/04,India
SK Raina,0,2012/09/28,India
SK Raina,1,2012/12/20,India
S Dhawan,1,2016/01/31,India
V Kohli,1,2018/02/18,India
V Kohli,1,2020/01/10,India
Yuvraj Singh,1,2016/03/03,India
RA Jadeja,0,2009/06/14,India
Yuvraj Singh,1,2009/06/16,India
RG Sharma,0,2012/10/02,India
SK Raina,1,2014/09/07,India
AM Rahane,0,2016/02/12,India
SK Raina,0,2016/03/01,India
HH Pandya,1,2017/10/10,India
MS Dhoni,0,2012/12/20,India
MS Dhoni,0,2013/10/10,India
SS Iyer,1,2019/11/07,India
MS Dhoni,0,2007/09/16,India
G Gambhir,0,2007/09/22,India
V Sehwag,0,2009/02/27,India
RG Sharma,1,2012/12/22,India
RG Sharma,2,2014/03/21,India
MS Dhoni,1,2014/03/30,India
RG Sharma,1,2014/04/04,India
STR Binny,0,2015/07/19,India
Yuvraj Singh,1,2016/03/19,India
V Kohli,1,2016/03/23,India
KL Rahul,0,2017/09/06,India
SS Iyer,0,2017/12/20,India
S Dhawan,2,2018/02/21,India
KL Rahul,1,2018/03/18,India
V Kohli,0,2019/02/24,India
RG Sharma,2,2019/08/03,India
Yuvraj Singh,1,2010/05/01,India
MS Dhoni,1,2010/05/11,India
MS Dhoni,0,2012/10/02,India
V Sehwag,1,2012/02/03,India
V Kohli,1,2014/03/30,India
V Kohli,0,2016/03/15,India
S Dhawan,1,2016/03/23,India
S Dhawan,0,2017/07/09,India
SS Iyer,0,2017/11/04,India
RR Pant,1,2018/03/06,India
RG Sharma,2,2018/11/25,India
S Dhawan,0,2019/08/04,India
YK Pathan,2,2009/02/10,India
MS Dhoni,0,2012/09/11,India
MS Dhoni,2,2014/03/28,India
AM Rahane,0,2016/02/14,India
V Kohli,0,2017/10/07,India
KD Karthik,1,2018/11/25,India
MK Pandey,0,2019/11/10,India
SN Thakur,2,2020/01/10,India
A Nehra,2,2009/12/09,India
V Kohli,1,2012/02/01,India
RG Sharma,0,2015/10/05,India
SK Raina,0,2015/10/05,India
KL Rahul,1,2016/06/22,India
KL Rahul,1,2017/02/01,India
SS Iyer,2,2019/11/03,India
MS Dhoni,0,2012/02/03,India
MK Pandey,0,2018/06/29,India
KH Pandya,0,2018/11/04,India
Harbhajan Singh,0,2009/02/25,India
G Gambhir,0,2009/06/16,India
SK Raina,1,2009/12/09,India
G Gambhir,0,2009/12/12,India
MS Dhoni,1,2011/10/29,India
AM Rahane,1,2012/08/07,India
Yuvraj Singh,2,2012/10/02,India
V Kohli,0,2012/12/20,India
G Gambhir,0,2012/12/28,India
SK Raina,1,2014/04/04,India
Yuvraj Singh,1,2016/03/27,India
V Kohli,1,2017/01/29,India
RG Sharma,2,2018/02/18,India
HH Pandya,1,2018/02/24,India
HH Pandya,2,2019/02/10,India
MS Dhoni,1,2015/10/02,India
MS Dhoni,2,2016/03/06,India
AR Patel,1,2016/06/22,India
V Kohli,1,2018/07/03,India
MS Dhoni,0,2019/02/08,India
KH Pandya,2,2019/08/04,India
IK Pathan,2,2007/09/14,India
YK Pathan,3,2009/02/25,India
G Gambhir,0,2012/02/01,India
SK Raina,1,2016/02/09,India
AT Rayudu,0,2016/06/22,India
RR Pant,1,2018/11/21,India
KH Pandya,1,2019/02/06,India
KL Rahul,1,2019/08/06,India
SN Thakur,0,2020/01/31,India
S Sreesanth,0,2007/09/16,India
Yuvraj Singh,0,2012/09/30,India
MS Dhoni,0,2016/06/18,India
G Gambhir,0,2007/09/20,India
RA Jadeja,1,2009/02/27,India
AB Dinda,0,2009/12/09,India
AM Rahane,2,2012/12/20,India
SK Raina,1,2013/10/10,India
AM Rahane,0,2014/03/30,India
MK Pandey,1,2015/07/17,India
SV Samson,0,2015/07/19,India
AT Rayudu,0,2016/06/18,India
KM Jadhav,1,2016/06/18,India
KL Rahul,2,2018/07/08,India
MK Pandey,0,2018/11/04,India
V Kohli,0,2019/08/03,India
MK Pandey,0,2019/08/03,India
RR Pant,1,2019/09/22,India
RA Jadeja,1,2019/09/22,India
S Dhawan,0,2019/11/10,India
V Kohli,0,2019/12/08,India
RV Uthappa,0,2012/03/30,India
MS Dhoni,1,2012/09/19,India
MS Dhoni,0,2016/03/27,India
KD Karthik,1,2017/12/24,India
SK Raina,1,2010/05/01,India
Yuvraj Singh,1,2012/09/19,India
Yuvraj Singh,0,2014/04/04,India
RG Sharma,1,2016/03/23,India
AR Patel,2,2016/06/18,India
KL Rahul,0,2018/03/12,India
RR Pant,2,2019/12/06,India
R Ashwin,0,2011/10/29,India
KD Karthik,0,2007/09/16,India
Yuvraj Singh,2,2009/06/14,India
YK Pathan,2,2010/05/09,India
G Gambhir,0,2012/09/28,India
V Sehwag,1,2012/10/02,India
G Gambhir,0,2012/12/22,India
MK Pandey,1,2017/11/07,India
RG Sharma,0,2017/12/20,India
RG Sharma,0,2018/03/08,India
V Shankar,0,2018/03/18,India
KL Rahul,0,2018/11/11,India
SS Iyer,1,2020/01/29,India
MS Dhoni,1,2010/05/02,India
MS Dhoni,0,2012/08/07,India
R Ashwin,1,2012/09/28,India
S Dhawan,0,2016/03/03,India
MS Dhoni,0,2017/12/24,India
SS Iyer,0,2019/09/18,India
KD Karthik,0,2010/05/02,India
G Gambhir,0,2012/12/20,India
V Kohli,0,2016/08/27,India
Kuldeep Yadav,0,2017/10/10,India
MS Dhoni,0,2018/02/18,India
KL Rahul,0,2018/11/04,India
IK Pathan,1,2009/02/27,India
MS Dhoni,2,2010/05/01,India
YK Pathan,2,2011/06/04,India
Harbhajan Singh,1,2011/06/04,India
R Ashwin,0,2012/02/01,India
Yuvraj Singh,1,2016/01/31,India
MS Dhoni,0,2016/03/31,India
S Dhawan,0,2017/10/07,India
KH Pandya,1,2019/11/03,India
RV Uthappa,1,2007/09/20,India
YK Pathan,1,2007/09/24,India
G Gambhir,0,2010/05/09,India
V Kohli,0,2011/10/29,India
MK Tiwary,0,2011/10/29,India
V Kohli,0,2012/09/28,India
MS Dhoni,0,2012/09/28,India
Yuvraj Singh,0,2016/02/24,India
RG Sharma,0,2016/03/01,India
HH Pandya,1,2016/03/23,India
SK Raina,1,2018/02/18,India
KL Rahul,0,2019/11/03,India
RG Sharma,0,2019/12/08,India
Yuvraj Singh,0,2016/02/27,India
HH Pandya,1,2017/11/07,India
Washington Sundar,2,2019/11/03,India
MK Pandey,1,2020/01/24,India
MK Pandey,1,2020/01/29,India
AB Agarkar,0,2007/09/14,India
Yuvraj Singh,0,2007/09/24,India
MS Dhoni,0,2009/06/10,India
G Gambhir,0,2009/06/12,India
Harbhajan Singh,1,2009/06/16,India
Harbhajan Singh,1,2010/05/09,India
M Vijay,0,2011/01/09,India
V Kohli,0,2011/06/04,India
SK Raina,0,2012/02/01,India
SK Raina,2,2015/10/02,India
MS Dhoni,0,2016/01/29,India
KL Rahul,1,2018/11/25,India
V Shankar,1,2019/02/08,India
S Dhawan,0,2019/02/27,India
HH Pandya,0,2019/09/22,India
Harbhajan Singh,0,2009/06/12,India
MS Dhoni,1,2016/03/19,India
MS Dhoni,0,2016/03/23,India
RA Jadeja,1,2017/07/09,India
HH Pandya,0,2018/02/18,India
KD Karthik,0,2018/03/06,India
G Gambhir,0,2009/02/10,India
MS Dhoni,0,2009/02/10,India
Harbhajan Singh,1,2010/05/07,India
KD Karthik,0,2010/05/11,India
YK Pathan,0,2010/05/11,India
M Vijay,1,2015/07/19,India
AR Patel,0,2015/07/19,India
RG Sharma,1,2016/02/14,India
SK Raina,0,2016/02/24,India
S Dhawan,1,2016/03/27,India
MS Dhoni,0,2017/10/10,India
V Kohli,1,2017/11/07,India
MK Pandey,1,2018/02/24,India
KD Karthik,0,2018/02/24,India
KL Rahul,0,2018/11/21,India
S Dube,1,2020/01/24,India
HH Pandya,1,2018/07/06,India
IK Pathan,0,2009/02/25,India
Yuvraj Singh,0,2010/05/09,India
Yuvraj Singh,0,2011/01/09,India
RA Jadeja,0,2016/03/23,India
RG Sharma,0,2016/03/27,India
Yuvraj Singh,0,2017/01/26,India
MS Dhoni,0,2018/02/24,India
KH Pandya,0,2019/08/03,India
RG Sharma,2,2019/09/18,India
S Dube,0,2020/01/31,India
IK Pathan,1,2009/06/06,India
MS Dhoni,1,2016/01/26,India
R Ashwin,0,2017/07/09,India
NA Saini,0,2020/01/31,India
MK Pandey,1,2020/02/02,India
KD Karthik,0,2007/09/14,India
IK Pathan,0,2007/09/16,India
V Sehwag,0,2007/09/20,India
MS Dhoni,0,2009/06/12,India
YK Pathan,1,2010/05/02,India
Yuvraj Singh,0,2014/04/06,India
STR Binny,1,2015/07/17,India
S Dhawan,0,2015/10/05,India
R Ashwin,0,2015/10/05,India
HH Pandya,1,2017/02/01,India
RG Sharma,1,2017/10/07,India
RG Sharma,0,2018/02/24,India
RG Sharma,1,2018/03/12,India
MS Dhoni,1,2018/06/27,India
KL Rahul,0,2019/12/08,India
V Kohli,0,2020/01/26,India
V Kohli,0,2020/01/31,India
MS Dhoni,0,2007/09/19,India
PP Ojha,1,2009/12/09,India
MS Dhoni,0,2011/01/09,India
RG Sharma,1,2016/08/28,India
RA Jadeja,0,2019/08/03,India
RA Jadeja,1,2020/01/29,India
SR Tendulkar,0,2006/12/01,India
G Gambhir,1,2009/02/27,India
SK Raina,0,2009/06/06,India
RG Sharma,0,2010/06/12,India
NV Ojha,0,2010/06/13,India
PA Patel,0,2011/08/31,India
YK Pathan,0,2011/10/29,India
G Gambhir,0,2012/09/19,India
Yuvraj Singh,1,2012/12/25,India
SK Raina,0,2012/12/25,India
Yuvraj Singh,0,2014/03/23,India
Yuvraj Singh,1,2016/02/09,India
R Ashwin,0,2016/03/15,India
RG Sharma,0,2016/03/19,India
SK Raina,0,2016/03/27,India
HH Pandya,1,2017/12/22,India
S Dhawan,1,2018/03/18,India
SK Raina,0,2018/06/27,India
S Dhawan,0,2018/07/06,India
SS Iyer,0,2019/12/08,India
MS Dhoni,1,2007/10/20,India
MS Dhoni,0,2016/02/12,India
RA Jadeja,1,2019/08/04,India
S Dube,0,2019/11/10,India
V Sehwag,0,2007/09/22,India
G Gambhir,0,2008/02/01,India
MS Dhoni,0,2008/02/01,India
RG Sharma,0,2009/06/14,India
MS Dhoni,0,2009/12/09,India
SK Raina,0,2009/12/12,India
G Gambhir,0,2010/05/07,India
Z Khan,1,2010/05/07,India
MS Dhoni,0,2012/09/23,India
V Kohli,0,2012/12/25,India
KM Jadhav,0,2015/07/17,India
B Kumar,0,2015/07/19,India
AR Patel,0,2015/10/05,India
S Dhawan,1,2016/02/09,India
MS Dhoni,0,2016/06/22,India
HH Pandya,0,2017/01/26,India
RG Sharma,0,2017/09/06,India
V Kohli,0,2018/06/29,India
RG Sharma,0,2019/09/22,India
V Kohli,0,2019/09/22,India
RG Sharma,0,2019/11/03,India
RA Jadeja,0,2019/12/08,India
RG Sharma,1,2007/09/22,India
Harbhajan Singh,0,2015/07/17,India
MS Dhoni,1,2016/02/24,India
KD Karthik,0,2019/02/27,India
Washington Sundar,1,2019/08/03,India
KL Rahul,0,2019/11/07,India
S Dube,1,2020/01/26,India
RV Uthappa,0,2007/09/24,India
KD Karthik,0,2008/02/01,India
RG Sharma,0,2008/02/01,India
MS Dhoni,0,2011/08/31,India
V Sehwag,0,2012/09/19,India
IK Pathan,0,2012/09/23,India
Yuvraj Singh,0,2012/09/28,India
G Gambhir,0,2012/10/02,India
RG Sharma,1,2013/10/10,India
AM Rahane,1,2014/09/07,India
KL Rahul,0,2017/01/26,India
RG Sharma,0,2017/10/10,India
RG Sharma,0,2017/11/07,India
S Dhawan,0,2018/03/12,India
RG Sharma,0,2019/12/06,India
RG Sharma,0,2020/01/26,India
SV Samson,1,2020/01/31,India
RA Jadeja,0,2009/06/16,India
MS Dhoni,0,2016/02/27,India
MS Dhoni,1,2016/03/01,India
MS Dhoni,1,2017/11/01,India
Harbhajan Singh,0,2007/09/16,India
RG Sharma,1,2009/02/25,India
M Vijay,0,2010/05/09,India
RA Jadeja,0,2012/02/01,India
RA Jadeja,0,2014/09/07,India
V Kohli,0,2016/02/24,India
AM Rahane,0,2016/08/27,India
SK Raina,0,2017/01/29,India
JJ Bumrah,0,2017/10/10,India
RR Pant,0,2018/03/08,India
RG Sharma,0,2018/11/21,India
RG Sharma,1,2020/01/24,India
B Kumar,0,2012/12/25,India
HH Pandya,1,2018/06/27,India
RV Uthappa,0,2007/09/19,India
MS Dhoni,0,2007/09/24,India
P Kumar,0,2008/02/01,India
G Gambhir,0,2009/02/25,India
Yuvraj Singh,0,2009/12/09,India
YK Pathan,0,2011/01/09,India
G Gambhir,0,2012/08/07,India
SK Raina,0,2014/03/30,India
RA Jadeja,0,2016/02/09,India
A Nehra,0,2016/02/09,India
S Dhawan,0,2016/03/19,India
MK Pandey,0,2017/10/10,India
S Dhawan,0,2017/11/07,India
SS Iyer,0,2017/11/07,India
KL Rahul,0,2018/07/06,India
RG Sharma,0,2018/11/04,India
MK Pandey,0,2019/08/04,India
RR Pant,0,2019/11/10,India
SV Samson,1,2020/01/10,India
I Sharma,0,2009/12/09,India
RA Jadeja,0,2010/05/09,India
R Ashwin,0,2016/03/23,India
RR Pant,0,2017/02/01,India
KD Karthik,0,2017/12/22,India
V Sehwag,0,2007/09/14,India
Yuvraj Singh,0,2007/09/16,India
V Sehwag,0,2007/10/20,India
RA Jadeja,0,2009/02/10,India
RG Sharma,0,2009/06/12,India
SK Raina,0,2009/06/12,India
MS Dhoni,0,2009/06/16,India
SK Raina,0,2010/05/07,India
RG Sharma,0,2010/05/09,India
M Vijay,0,2010/06/12,India
S Dhawan,0,2011/06/04,India
RG Sharma,0,2014/03/30,India
KM Jadhav,0,2015/07/19,India
MS Dhoni,0,2015/10/05,India
S Dhawan,0,2016/01/26,India
RG Sharma,0,2016/03/15,India
Parvez Rasool,0,2017/01/26,India
MS Dhoni,0,2017/01/29,India
RG Sharma,0,2017/11/04,India
AR Patel,0,2017/11/04,India
RG Sharma,0,2018/07/06,India
S Dhawan,0,2018/07/08,India
RR Pant,0,2018/11/06,India
KD Karthik,0,2019/02/06,India
S Dhawan,0,2019/02/10,India
RG Sharma,0,2019/02/24,India
SS Iyer,0,2019/09/22,India
S Dube,0,2020/02/02,India
KD Karthik,0,2009/12/12,India
RG Sharma,0,2012/09/11,India
RG Sharma,0,2012/12/28,India
MS Dhoni,0,2014/04/06,India
AM Rahane,0,2016/08/28,India
MK Pandey,0,2018/11/11,India
Kuldeep Yadav,0,2018/11/21,India
RG Sharma,0,2009/02/10,India
Z Khan,0,2009/06/16,India
G Gambhir,0,2010/05/01,India
RA Jadeja,0,2010/05/07,India
YK Pathan,0,2010/06/13,India
V Kohli,0,2011/08/31,India
R Ashwin,0,2011/08/31,India
V Sehwag,0,2012/02/01,India
Yuvraj Singh,0,2012/12/22,India
AM Rahane,0,2015/07/19,India
AM Rahane,0,2016/02/09,India
Yuvraj Singh,0,2016/03/15,India
Mandeep Singh,0,2016/06/22,India
Yuvraj Singh,0,2017/01/29,India
KM Jadhav,0,2017/07/09,India
KL Rahul,0,2017/12/24,India
HH Pandya,0,2017/12/24,India
S Dhawan,0,2018/07/03,India
RG Sharma,0,2018/11/11,India
V Kohli,0,2018/11/21,India
RR Pant,0,2019/02/06,India
HH Pandya,0,2019/02/06,India
RR Pant,0,2019/08/04,India
RR Pant,0,2019/09/18,India
KH Pandya,0,2019/09/22,India
Washington Sundar,0,2019/09/22,India
SS Iyer,0,2019/12/06,India
SS Iyer,0,2020/01/10,India
SK Raina,0,2006/12/01,India
IK Pathan,0,2007/09/24,India
I Sharma,0,2008/02/01,India
Yuvraj Singh,0,2009/06/10,India
AB Dinda,0,2012/12/25,India
AT Rayudu,0,2014/09/07,India
MM Sharma,0,2015/07/19,India
YS Chahal,0,2017/10/10,India
